id,mode,value,value-mode
0,,50:15:0,paint
1,,50:15:0,paint
2,,50:15:0,paint
3,,50:15:0,paint
4,,50:15:0,paint
5,,50:15:0,paint
6,,50:19:0,paint
7,,50:19:0,paint
8,,50:19:0,paint
9,,50:19:0,paint
10,,50:19:0,paint
11,,50:19:0,paint
12,,50:12:0,paint
13,,50:24:0,paint
14,,50:24:0,paint
15,,50:24:0,paint
16,,50:24:0,paint
17,,50:24:0,paint
18,,50:24:0,paint
19,,73:43:0,paint
20,,73:43:0,paint
21,,73:43:0,paint
22,,73:43:0,paint
23,,73:43:0,paint
24,,73:43:0,paint
25,,73:43:0,paint
26,,102:68:0,paint
27,,102:68:0,paint
28,,102:68:0,paint
29,,102:68:0,paint
30,,102:68:0,paint
31,,102:68:0,paint
32,,94:61:0,paint
33,,135:98:0,paint
34,,135:98:0,paint
35,,135:98:0,paint
36,,135:98:0,paint
37,,135:98:0,paint
38,,135:98:0,paint
39,,125:89:0,paint
40,,165:126:0,paint
41,,165:126:0,paint
42,,165:126:0,paint
43,,165:126:0,paint
44,,165:126:0,paint
45,,165:126:0,paint
46,,153:115:0,paint
47,,190:150:0,paint
48,,190:150:0,paint
49,,190:150:0,paint
50,,190:150:0,paint
51,,190:150:0,paint
52,,190:150:0,paint
53,,208:168:0,paint
54,,208:168:0,paint
55,,208:168:0,paint
56,,208:168:0,paint
57,,208:168:0,paint
58,,208:168:0,paint
59,,208:168:0,paint
60,,223:182:0,paint
61,,223:182:0,paint
62,,223:182:0,paint
63,,223:182:0,paint
64,,223:182:0,paint
65,,223:182:0,paint
66,,223:182:0,paint
67,,203:163:0,paint
68,,203:163:0,paint
69,,203:163:0,paint
70,,203:163:0,paint
71,,203:163:0,paint
72,,203:163:0,paint
73,,209:168:0,paint
74,,235:194:0,paint
75,,235:194:0,paint
76,,235:194:0,paint
77,,235:194:0,paint
78,,235:194:0,paint
79,,235:194:0,paint
80,,212:171:0,paint
81,,212:171:0,paint
82,,212:171:0,paint
83,,212:171:0,paint
84,,212:171:0,paint
85,,212:171:0,paint
86,,212:171:0,paint
87,,237:196:0,paint
88,,237:196:0,paint
89,,237:196:0,paint
90,,237:196:0,paint
91,,237:196:0,paint
92,,237:196:0,paint
93,,237:196:0,paint
94,,237:196:0,paint
95,,237:196:0,paint
96,,237:196:0,paint
97,,237:196:0,paint
98,,237:196:0,paint
99,,237:196:0,paint
100,,237:196:0,paint
101,,237:196:0,paint
102,,237:196:0,paint
103,,237:196:0,paint
104,,237:196:0,paint
105,,237:196:0,paint
106,,237:196:0,paint
107,,237:196:0,paint
108,,237:196:0,paint
109,,237:196:0,paint
110,,237:196:0,paint
111,,237:196:0,paint
112,,237:196:0,paint
113,,237:196:0,paint
114,,237:196:0,paint
115,,237:196:0,paint
116,,237:196:0,paint
117,,237:196:0,paint
118,,237:196:0,paint
119,,237:196:0,paint
120,,237:196:0,paint
121,,237:196:0,paint
122,,237:196:0,paint
123,,237:196:0,paint
124,,237:196:0,paint
125,,237:196:0,paint
126,,237:196:0,paint
127,,237:196:0,paint
128,,237:196:0,paint
129,,237:196:0,paint
130,,237:196:0,paint
131,,237:196:0,paint
132,,237:196:0,paint
133,,237:196:0,paint
134,,237:196:0,paint
135,,237:196:0,paint
136,,237:196:0,paint
137,,237:196:0,paint
138,,237:196:0,paint
139,,237:196:0,paint
140,,237:196:0,paint
141,,237:196:0,paint
142,,237:196:0,paint
143,,237:196:0,paint
144,,237:196:0,paint
145,,237:196:0,paint
146,,237:196:0,paint
147,,237:196:0,paint
148,,237:196:0,paint
149,,237:196:0,paint
150,,237:196:0,paint
151,,237:196:0,paint
152,,237:196:0,paint
153,,237:196:0,paint
154,,237:196:0,paint
155,,237:196:0,paint
156,,237:196:0,paint
157,,237:196:0,paint
158,,237:196:0,paint
159,,237:196:0,paint
160,,237:196:0,paint
161,,237:196:0,paint
162,,237:196:0,paint
163,,237:196:0,paint
164,,237:196:0,paint
165,,237:196:0,paint
166,,237:196:0,paint
167,,237:196:0,paint
168,,237:196:0,paint
169,,237:196:0,paint
170,,237:196:0,paint
171,,237:196:0,paint
172,,237:196:0,paint
173,,237:196:0,paint
174,,237:196:0,paint
175,,237:196:0,paint
176,,237:196:0,paint
177,,237:196:0,paint
178,,237:196:0,paint
179,,237:196:0,paint
180,,237:196:0,paint
181,,237:196:0,paint
182,,237:196:0,paint
183,,237:196:0,paint
184,,237:196:0,paint
185,,237:196:0,paint
186,,237:196:0,paint
187,,237:196:0,paint
188,,237:196:0,paint
189,,237:196:0,paint
190,,237:196:0,paint
191,,237:196:0,paint
192,,237:196:0,paint
193,,237:196:0,paint
194,,237:196:0,paint
195,,237:196:0,paint
196,,237:196:0,paint
197,,237:196:0,paint
198,,237:196:0,paint
199,,237:196:0,paint
200,,237:196:0,paint
201,,237:196:0,paint
202,,237:196:0,paint
203,,237:196:0,paint
204,,237:196:0,paint
205,,237:196:0,paint
206,,237:196:0,paint
207,,237:196:0,paint
208,,237:196:0,paint
209,,237:196:0,paint
210,,237:196:0,paint
211,,237:196:0,paint
212,,237:196:0,paint
213,,237:196:0,paint
214,,237:196:0,paint
215,,237:196:0,paint
216,,237:196:0,paint
217,,237:196:0,paint
218,,237:196:0,paint
219,,237:196:0,paint
220,,237:196:0,paint
221,,237:196:0,paint
222,,237:196:0,paint
223,,237:196:0,paint
224,,237:196:0,paint
225,,237:196:0,paint
226,,237:196:0,paint
227,,237:196:0,paint
228,,237:196:0,paint
229,,237:196:0,paint
230,,237:196:0,paint
231,,237:196:0,paint
232,,237:196:0,paint
233,,237:196:0,paint
234,,237:196:0,paint
235,,237:196:0,paint
236,,237:196:0,paint
237,,237:196:0,paint
238,,237:196:0,paint
239,,237:196:0,paint
240,,237:196:0,paint
241,,237:196:0,paint
242,,237:196:0,paint
243,,237:196:0,paint
244,,237:196:0,paint
245,,237:196:0,paint
246,,237:196:0,paint
247,,237:196:0,paint
248,,237:196:0,paint
249,,237:196:0,paint
250,,237:196:0,paint
251,,237:196:0,paint
252,,237:196:0,paint
253,,237:196:0,paint
254,,237:196:0,paint
255,,237:196:0,paint
256,,237:196:0,paint
257,,237:196:0,paint
258,,237:196:0,paint
259,,237:196:0,paint
260,,237:196:0,paint
261,,237:196:0,paint
262,,237:196:0,paint
263,,237:196:0,paint
264,,237:196:0,paint
265,,237:196:0,paint
266,,237:196:0,paint
267,,237:196:0,paint
268,,237:196:0,paint
269,,237:196:0,paint
270,,237:196:0,paint
271,,237:196:0,paint
272,,237:196:0,paint
273,,237:196:0,paint
274,,237:196:0,paint
275,,237:196:0,paint
276,,237:196:0,paint
277,,237:196:0,paint
278,,237:196:0,paint
279,,237:196:0,paint
280,,237:196:0,paint
281,,237:196:0,paint
282,,237:196:0,paint
283,,237:196:0,paint
284,,237:196:0,paint
285,,237:196:0,paint
286,,237:196:0,paint
287,,237:196:0,paint
288,,237:196:0,paint
289,,237:196:0,paint
290,,237:196:0,paint
291,,237:196:0,paint
292,,237:196:0,paint
293,,237:196:0,paint
294,,237:196:0,paint
295,,237:196:0,paint
296,,237:196:0,paint
297,,237:196:0,paint
298,,237:196:0,paint
299,,237:196:0,paint
300,,237:196:0,paint
301,,237:196:0,paint
302,,237:196:0,paint
303,,237:196:0,paint
304,,237:196:0,paint
305,,237:196:0,paint
306,,237:196:0,paint
307,,237:196:0,paint
308,,237:196:0,paint
309,,237:196:0,paint
310,,237:196:0,paint
311,,237:196:0,paint
312,,237:196:0,paint
313,,237:196:0,paint
314,,237:196:0,paint
315,,237:196:0,paint
316,,237:196:0,paint
317,,237:196:0,paint
318,,237:196:0,paint
319,,237:196:0,paint
320,,237:196:0,paint
321,,237:196:0,paint
322,,237:196:0,paint
323,,237:196:0,paint
324,,237:196:0,paint
325,,237:196:0,paint
326,,237:196:0,paint
327,,237:196:0,paint
328,,237:196:0,paint
329,,237:196:0,paint
330,,237:196:0,paint
331,,237:196:0,paint
332,,237:196:0,paint
333,,237:196:0,paint
334,,237:196:0,paint
335,,237:196:0,paint
336,,237:196:0,paint
337,,237:196:0,paint
338,,237:196:0,paint
339,,237:196:0,paint
340,,237:196:0,paint
341,,237:196:0,paint
342,,237:196:0,paint
343,,237:196:0,paint
344,,237:196:0,paint
345,,237:196:0,paint
346,,237:196:0,paint
347,,237:196:0,paint
348,,237:196:0,paint
349,,237:196:0,paint
350,,237:196:0,paint
351,,237:196:0,paint
352,,237:196:0,paint
353,,237:196:0,paint
354,,237:196:0,paint
355,,237:196:0,paint
356,,237:196:0,paint
357,,237:196:0,paint
358,,237:196:0,paint
359,,237:196:0,paint
360,,237:196:0,paint
361,,237:196:0,paint
362,,237:196:0,paint
363,,237:196:0,paint
364,,237:196:0,paint
365,,237:196:0,paint
366,,237:196:0,paint
367,,237:196:0,paint
368,,237:196:0,paint
369,,237:196:0,paint
370,,237:196:0,paint
371,,237:196:0,paint
372,,237:196:0,paint
373,,237:196:0,paint
374,,237:196:0,paint
375,,237:196:0,paint
376,,237:196:0,paint
377,,237:196:0,paint
378,,237:196:0,paint
379,,237:196:0,paint
380,,237:196:0,paint
381,,237:196:0,paint
382,,237:196:0,paint
383,,237:196:0,paint
384,,237:196:0,paint
385,,237:196:0,paint
386,,237:196:0,paint
387,,237:196:0,paint
388,,237:196:0,paint
389,,237:196:0,paint
390,,237:196:0,paint
391,,237:196:0,paint
392,,237:196:0,paint
393,,237:196:0,paint
394,,237:196:0,paint
395,,237:196:0,paint
396,,237:196:0,paint
397,,237:196:0,paint
398,,237:196:0,paint
399,,237:196:0,paint
400,,237:196:0,paint
401,,237:196:0,paint
402,,237:196:0,paint
403,,237:196:0,paint
404,,237:196:0,paint
405,,237:196:0,paint
406,,237:196:0,paint
407,,237:196:0,paint
408,,237:196:0,paint
409,,237:196:0,paint
410,,237:196:0,paint
411,,237:196:0,paint
412,,237:196:0,paint
413,,237:196:0,paint
414,,237:196:0,paint
415,,237:196:0,paint
416,,237:196:0,paint
417,,237:196:0,paint
418,,237:196:0,paint
419,,237:196:0,paint
420,,237:196:0,paint
421,,237:196:0,paint
422,,237:196:0,paint
423,,237:196:0,paint
424,,237:196:0,paint
425,,237:196:0,paint
426,,237:196:0,paint
427,,237:196:0,paint
428,,237:196:0,paint
429,,237:196:0,paint
430,,237:196:0,paint
431,,237:196:0,paint
432,,237:196:0,paint
433,,237:196:0,paint
434,,237:196:0,paint
435,,237:196:0,paint
436,,237:196:0,paint
437,,237:196:0,paint
438,,237:196:0,paint
439,,237:196:0,paint
440,,237:196:0,paint
441,,237:196:0,paint
442,,237:196:0,paint
443,,237:196:0,paint
444,,237:196:0,paint
445,,237:196:0,paint
446,,237:196:0,paint
447,,237:196:0,paint
448,,237:196:0,paint
449,,237:196:0,paint
450,,237:196:0,paint
451,,237:196:0,paint
452,,237:196:0,paint
453,,237:196:0,paint
454,,237:196:0,paint
455,,237:196:0,paint
456,,237:196:0,paint
457,,237:196:0,paint
458,,237:196:0,paint
459,,237:196:0,paint
460,,237:196:0,paint
461,,237:196:0,paint
462,,237:196:0,paint
463,,237:196:0,paint
464,,237:196:0,paint
465,,237:196:0,paint
466,,237:196:0,paint
467,,237:196:0,paint
468,,237:196:0,paint
469,,237:196:0,paint
470,,237:196:0,paint
471,,58:14:0,paint
472,,58:14:0,paint
473,,58:14:0,paint
474,,58:14:0,paint
475,,58:14:0,paint
476,,58:14:0,paint
477,,18:17:0,paint
478,,68:14:0,paint
479,,68:14:0,paint
480,,68:14:0,paint
481,,68:14:0,paint
482,,68:14:0,paint
483,,68:14:0,paint
484,,81:14:0,paint
485,,81:14:0,paint
486,,81:14:0,paint
487,,81:14:0,paint
488,,81:14:0,paint
489,,81:14:0,paint
490,,81:14:0,paint
491,,99:15:0,paint
492,,99:15:0,paint
493,,99:15:0,paint
494,,99:15:0,paint
495,,99:15:0,paint
496,,99:15:0,paint
497,,99:15:0,paint
498,,122:15:0,paint
499,,122:15:0,paint
500,,122:15:0,paint
501,,122:15:0,paint
502,,122:15:0,paint
503,,122:15:0,paint
504,,122:15:0,paint
505,,146:16:0,paint
506,,146:16:0,paint
507,,146:16:0,paint
508,,146:16:0,paint
509,,146:16:0,paint
510,,146:16:0,paint
511,,165:16:0,paint
512,,165:16:0,paint
513,,165:16:0,paint
514,,165:16:0,paint
515,,165:16:0,paint
516,,165:16:0,paint
517,,165:16:0,paint
518,,184:16:0,paint
519,,184:16:0,paint
520,,184:16:0,paint
521,,184:16:0,paint
522,,184:16:0,paint
523,,184:16:0,paint
524,,184:16:0,paint
525,,198:17:0,paint
526,,198:17:0,paint
527,,198:17:0,paint
528,,198:17:0,paint
529,,198:17:0,paint
530,,198:17:0,paint
531,,198:17:0,paint
532,,206:17:0,paint
533,,206:17:0,paint
534,,206:17:0,paint
535,,206:17:0,paint
536,,206:17:0,paint
537,,206:17:0,paint
538,,145:16:0,paint
539,,210:17:0,paint
540,,210:17:0,paint
541,,210:17:0,paint
542,,210:17:0,paint
543,,210:17:0,paint
544,,210:17:0,paint
545,,150:16:0,paint
546,,215:17:0,paint
547,,215:17:0,paint
548,,215:17:0,paint
549,,215:17:0,paint
550,,215:17:0,paint
551,,215:17:0,paint
552,,219:17:0,paint
553,,219:17:0,paint
554,,219:17:0,paint
555,,219:17:0,paint
556,,219:17:0,paint
557,,219:17:0,paint
558,,219:17:0,paint
559,,224:16:0,paint
560,,224:16:0,paint
561,,224:16:0,paint
562,,224:16:0,paint
563,,224:16:0,paint
564,,224:16:0,paint
565,,224:16:0,paint
566,,227:17:0,paint
567,,227:17:0,paint
568,,227:17:0,paint
569,,227:17:0,paint
570,,227:17:0,paint
571,,227:17:0,paint
572,,227:17:0,paint
573,,231:17:0,paint
574,,231:17:0,paint
575,,231:17:0,paint
576,,231:17:0,paint
577,,231:17:0,paint
578,,231:17:0,paint
579,,231:17:0,paint
580,,232:17:0,paint
581,,232:17:0,paint
582,,232:17:0,paint
583,,232:17:0,paint
584,,232:17:0,paint
585,,232:17:0,paint
586,,232:17:0,paint
587,,232:17:0,paint
588,,232:17:0,paint
589,,232:17:0,paint
590,,232:17:0,paint
591,,232:17:0,paint
592,,232:17:0,paint
593,,232:17:0,paint
594,,232:17:0,paint
595,,232:17:0,paint
596,,232:17:0,paint
597,,232:17:0,paint
598,,232:17:0,paint
599,,232:17:0,paint
600,,232:17:0,paint
601,,232:17:0,paint
602,,232:17:0,paint
603,,232:17:0,paint
604,,232:17:0,paint
605,,232:17:0,paint
606,,232:17:0,paint
607,,232:17:0,paint
608,,232:17:0,paint
609,,232:17:0,paint
610,,232:17:0,paint
611,,232:17:0,paint
612,,232:17:0,paint
613,,232:17:0,paint
614,,232:17:0,paint
615,,232:17:0,paint
616,,232:17:0,paint
617,,232:17:0,paint
618,,232:17:0,paint
619,,232:17:0,paint
620,,232:17:0,paint
621,,232:17:0,paint
622,,232:17:0,paint
623,,232:17:0,paint
624,,232:17:0,paint
625,,232:17:0,paint
626,,232:17:0,paint
627,,232:17:0,paint
628,,232:17:0,paint
629,,232:17:0,paint
630,,232:17:0,paint
631,,232:17:0,paint
632,,232:17:0,paint
633,,232:17:0,paint
634,,232:17:0,paint
635,,232:17:0,paint
636,,232:17:0,paint
637,,232:17:0,paint
638,,232:17:0,paint
639,,232:17:0,paint
640,,232:17:0,paint
641,,232:17:0,paint
642,,232:17:0,paint
643,,232:17:0,paint
644,,232:17:0,paint
645,,232:17:0,paint
646,,232:17:0,paint
647,,232:17:0,paint
648,,232:17:0,paint
649,,232:17:0,paint
650,,232:17:0,paint
651,,232:17:0,paint
652,,232:17:0,paint
653,,232:17:0,paint
654,,232:17:0,paint
655,,232:17:0,paint
656,,232:17:0,paint
657,,232:17:0,paint
658,,232:17:0,paint
659,,232:17:0,paint
660,,232:17:0,paint
661,,232:17:0,paint
662,,232:17:0,paint
663,,232:17:0,paint
664,,232:17:0,paint
665,,232:17:0,paint
666,,232:17:0,paint
667,,232:17:0,paint
668,,232:17:0,paint
669,,232:17:0,paint
670,,232:17:0,paint
671,,232:17:0,paint
672,,232:17:0,paint
673,,232:17:0,paint
674,,232:17:0,paint
675,,232:17:0,paint
676,,232:17:0,paint
677,,232:17:0,paint
678,,232:17:0,paint
679,,232:17:0,paint
680,,232:17:0,paint
681,,232:17:0,paint
682,,232:17:0,paint
683,,232:17:0,paint
684,,232:17:0,paint
685,,232:17:0,paint
686,,232:17:0,paint
687,,232:17:0,paint
688,,232:17:0,paint
689,,232:17:0,paint
690,,232:17:0,paint
691,,232:17:0,paint
692,,232:17:0,paint
693,,232:17:0,paint
694,,232:17:0,paint
695,,232:17:0,paint
696,,232:17:0,paint
697,,232:17:0,paint
698,,232:17:0,paint
699,,232:17:0,paint
700,,232:17:0,paint
701,,232:17:0,paint
702,,232:17:0,paint
703,,232:17:0,paint
704,,232:17:0,paint
705,,232:17:0,paint
706,,232:17:0,paint
707,,232:17:0,paint
708,,232:17:0,paint
709,,232:17:0,paint
710,,232:17:0,paint
711,,232:17:0,paint
712,,232:17:0,paint
713,,232:17:0,paint
714,,232:17:0,paint
715,,232:17:0,paint
716,,232:17:0,paint
717,,232:17:0,paint
718,,232:17:0,paint
719,,232:17:0,paint
720,,232:17:0,paint
721,,232:17:0,paint
722,,232:17:0,paint
723,,232:17:0,paint
724,,232:17:0,paint
725,,232:17:0,paint
726,,232:17:0,paint
727,,232:17:0,paint
728,,232:17:0,paint
729,,232:17:0,paint
730,,232:17:0,paint
731,,232:17:0,paint
732,,232:17:0,paint
733,,232:17:0,paint
734,,232:17:0,paint
735,,232:17:0,paint
736,,232:17:0,paint
737,,232:17:0,paint
738,,232:17:0,paint
739,,232:17:0,paint
740,,232:17:0,paint
741,,232:17:0,paint
742,,232:17:0,paint
743,,232:17:0,paint
744,,232:17:0,paint
745,,232:17:0,paint
746,,232:17:0,paint
747,,232:17:0,paint
748,,232:17:0,paint
749,,232:17:0,paint
750,,232:17:0,paint
751,,232:17:0,paint
752,,232:17:0,paint
753,,232:17:0,paint
754,,232:17:0,paint
755,,232:17:0,paint
756,,232:17:0,paint
757,,232:17:0,paint
758,,232:17:0,paint
759,,232:17:0,paint
760,,232:17:0,paint
761,,232:17:0,paint
762,,232:17:0,paint
763,,232:17:0,paint
764,,232:17:0,paint
765,,232:17:0,paint
766,,232:17:0,paint
767,,232:17:0,paint
768,,232:17:0,paint
769,,232:17:0,paint
770,,232:17:0,paint
771,,232:17:0,paint
772,,232:17:0,paint
773,,232:17:0,paint
774,,232:17:0,paint
775,,232:17:0,paint
776,,232:17:0,paint
777,,232:17:0,paint
778,,232:17:0,paint
779,,232:17:0,paint
780,,232:17:0,paint
781,,232:17:0,paint
782,,232:17:0,paint
783,,232:17:0,paint
784,,232:17:0,paint
785,,232:17:0,paint
786,,232:17:0,paint
787,,232:17:0,paint
788,,232:17:0,paint
789,,232:17:0,paint
790,,232:17:0,paint
791,,232:17:0,paint
792,,232:17:0,paint
793,,232:17:0,paint
794,,232:17:0,paint
795,,232:17:0,paint
796,,232:17:0,paint
797,,232:17:0,paint
798,,232:17:0,paint
799,,232:17:0,paint
800,,232:17:0,paint
801,,232:17:0,paint
802,,232:17:0,paint
803,,232:17:0,paint
804,,232:17:0,paint
805,,232:17:0,paint
806,,232:17:0,paint
807,,232:17:0,paint
808,,232:17:0,paint
809,,232:17:0,paint
810,,232:17:0,paint
811,,232:17:0,paint
812,,232:17:0,paint
813,,232:17:0,paint
814,,232:17:0,paint
815,,232:17:0,paint
816,,232:17:0,paint
817,,232:17:0,paint
818,,232:17:0,paint
819,,232:17:0,paint
820,,232:17:0,paint
821,,232:17:0,paint
822,,232:17:0,paint
823,,232:17:0,paint
824,,232:17:0,paint
825,,232:17:0,paint
826,,232:17:0,paint
827,,232:17:0,paint
828,,232:17:0,paint
829,,232:17:0,paint
830,,232:17:0,paint
831,,232:17:0,paint
832,,232:17:0,paint
833,,232:17:0,paint
834,,232:17:0,paint
835,,232:17:0,paint
836,,232:17:0,paint
837,,232:17:0,paint
838,,232:17:0,paint
839,,232:17:0,paint
840,,232:17:0,paint
841,,232:17:0,paint
842,,232:17:0,paint
843,,232:17:0,paint
844,,232:17:0,paint
845,,232:17:0,paint
